date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:36:51	196/196	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2013%20Oct%202022%2016:36:54%20GMT	http://ticketmaster-we.herokuapp.com/robots.txt		(from )
17:36:52	19850/19850	---MC-	200	added ('OK')	text/html	date:Thu,%2013%20Oct%202022%2016:36:54%20GMT	http://ticketmaster-we.herokuapp.com/	C:/My%20Web%20Sites/Ticket/ticketmaster-we.herokuapp.com/index.html	(from )
17:36:52	196/196	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2013%20Oct%202022%2016:36:55%20GMT	http://ticketmaster-we.herokuapp.com/static/images/android-launchericon-144-144.png	C:/My%20Web%20Sites/Ticket/ticketmaster-we.herokuapp.com/static/images/android-launchericon-144-144.png	(from http://ticketmaster-we.herokuapp.com/)
17:36:53	196/196	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2013%20Oct%202022%2016:36:55%20GMT	http://ticketmaster-we.herokuapp.com/static/manifest2.json	C:/My%20Web%20Sites/Ticket/ticketmaster-we.herokuapp.com/static/manifest2.json	(from http://ticketmaster-we.herokuapp.com/)
17:36:53	196/196	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2013%20Oct%202022%2016:36:56%20GMT	http://ticketmaster-we.herokuapp.com/static/favicon.ico	C:/My%20Web%20Sites/Ticket/ticketmaster-we.herokuapp.com/static/favicon.ico	(from http://ticketmaster-we.herokuapp.com/)
17:36:53	4171/4171	---M--	200	added ('OK')	text/css	etag:%22104b-5ead9a9bb9900%22	http://ticketmaster-we.herokuapp.com/index.css	C:/My%20Web%20Sites/Ticket/ticketmaster-we.herokuapp.com/index.css	(from http://ticketmaster-we.herokuapp.com/)
17:36:54	55026/55026	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-d6f2%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/1.3.0/jquery.min.js	C:/My%20Web%20Sites/Ticket/cdnjs.cloudflare.com/ajax/libs/jquery/1.3.0/jquery.min.js	(from http://ticketmaster-we.herokuapp.com/)
17:36:55	186839/186839	---M--	200	added ('OK')	image/jpeg	etag:%228LIoGiT1Tf19jvPG+Wq2BqZGVEdMuhqqo4/4OOdS30g%22	https://s1.ticketm.net/dam/a/010/aa178e43-b5e8-44aa-bc2b-8c5975412010_1419701_TABLET_LANDSCAPE_LARGE_16_9.jpg?width=1350&height=765&fit=crop&auto=webp	C:/My%20Web%20Sites/Ticket/s1.ticketm.net/dam/a/010/aa178e43-b5e8-44aa-bc2b-8c5975412010_1419701_TABLET_LANDSCAPE_LARGE_16_9bc25.jpg	(from http://ticketmaster-we.herokuapp.com/)
17:36:57	19683/19683	---M--	200	added ('OK')	text/html	etag:%224ce3-5ead9a9bb9900%22	http://ticketmaster-we.herokuapp.com/harry.html	C:/My%20Web%20Sites/Ticket/ticketmaster-we.herokuapp.com/harry.html	(from http://ticketmaster-we.herokuapp.com/)
17:36:58	19715/19715	---M--	200	added ('OK')	text/html	etag:%224d03-5ead9a9bb9900%22	http://ticketmaster-we.herokuapp.com/karol.html	C:/My%20Web%20Sites/Ticket/ticketmaster-we.herokuapp.com/karol.html	(from http://ticketmaster-we.herokuapp.com/)
17:36:59	7625/7625	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Oct%202022%2016:36:58%20GMT	https://developers.google.com/static/wallet/images/branding/button-table-black.png	C:/My%20Web%20Sites/Ticket/developers.google.com/static/wallet/images/branding/button-table-black.png	(from http://ticketmaster-we.herokuapp.com/)
17:37:00	19732/19732	---M--	200	added ('OK')	text/html	etag:%224d14-5ead9a9bb9900%22	http://ticketmaster-we.herokuapp.com/yankee.html	C:/My%20Web%20Sites/Ticket/ticketmaster-we.herokuapp.com/yankee.html	(from http://ticketmaster-we.herokuapp.com/)
17:37:00	19715/19715	---M--	200	added ('OK')	text/html	etag:%224d03-5ead9a9bb9900%22	http://ticketmaster-we.herokuapp.com/Weeknd.html	C:/My%20Web%20Sites/Ticket/ticketmaster-we.herokuapp.com/Weeknd.html	(from http://ticketmaster-we.herokuapp.com/)
17:37:01	29512/29512	---M--	200	added ('OK')	image/jpeg	etag:%227348-5ead9a9bb9900%22	http://ticketmaster-we.herokuapp.com/verified.jpg	C:/My%20Web%20Sites/Ticket/ticketmaster-we.herokuapp.com/verified.jpg	(from http://ticketmaster-we.herokuapp.com/)
17:37:02	1410/1410	---M--	200	added ('OK')	image/png	etag:%22582-5ead9a9bb9900%22	http://ticketmaster-we.herokuapp.com/images.png	C:/My%20Web%20Sites/Ticket/ticketmaster-we.herokuapp.com/images.png	(from http://ticketmaster-we.herokuapp.com/harry.html)
17:37:02	948/948	---M--	200	added ('OK')	application/json	etag:%223b4-5ead9a9bb9900%22	http://ticketmaster-we.herokuapp.com/manifest.json	C:/My%20Web%20Sites/Ticket/ticketmaster-we.herokuapp.com/manifest.json	(from http://ticketmaster-we.herokuapp.com/harry.html)
17:37:03	196/196	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2013%20Oct%202022%2016:37:06%20GMT	http://ticketmaster-we.herokuapp.com/3	C:/My%20Web%20Sites/Ticket/ticketmaster-we.herokuapp.com/3	(from http://ticketmaster-we.herokuapp.com/harry.html)
17:37:13	99032/99032	---M--	200	added ('OK')	font/woff2	etag:%22182d8-5ead9a9bb9900%22	http://ticketmaster-we.herokuapp.com/Averta-Regular.woff2	C:/My%20Web%20Sites/Ticket/ticketmaster-we.herokuapp.com/Averta-Regular.woff2	(from http://ticketmaster-we.herokuapp.com/index.css)
17:37:13	4158/4158	---M--	200	added ('OK')	text/css	etag:%22103e-5ead9a9bb9900%22	http://ticketmaster-we.herokuapp.com/msg.css	C:/My%20Web%20Sites/Ticket/ticketmaster-we.herokuapp.com/msg.css	(from http://ticketmaster-we.herokuapp.com/yankee.html)
17:37:15	98228/98228	---M--	200	added ('OK')	font/woff2	etag:%2217fb4-5ead9a9bb9900%22	http://ticketmaster-we.herokuapp.com/Averta-SemiBold.woff2	C:/My%20Web%20Sites/Ticket/ticketmaster-we.herokuapp.com/Averta-SemiBold.woff2	(from http://ticketmaster-we.herokuapp.com/index.css)
17:37:18	196/196	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2013%20Oct%202022%2016:37:18%20GMT	http://ticketmaster-we.herokuapp.com/3.html	C:/My%20Web%20Sites/Ticket/ticketmaster-we.herokuapp.com/3-2.html	(from http://ticketmaster-we.herokuapp.com/yankee.html)
17:37:18	94969/94969	---M--	200	added ('OK')	image/jpeg	etag:%22jBsUztqECMhmDskhhCKuujroTXui/oouWHKAqJyAA6k%22	https://s1.ticketm.net/dam/a/40c/c3796189-4b81-425d-ab1b-f2b34c38f40c_1714331_TABLET_LANDSCAPE_LARGE_16_9.jpg	C:/My%20Web%20Sites/Ticket/s1.ticketm.net/dam/a/40c/c3796189-4b81-425d-ab1b-f2b34c38f40c_1714331_TABLET_LANDSCAPE_LARGE_16_9.jpg	(from http://ticketmaster-we.herokuapp.com/yankee.html)
